DATE,COUNT
2023-01-01,0
2023-01-02,79
2023-01-03,71
2023-01-04,80
2023-01-05,118
2023-01-06,132
2023-01-07,118
2023-01-08,26
2023-01-09,72
2023-01-10,133
2023-01-11,109
2023-01-12,96
2023-01-13,91
2023-01-14,87
2023-01-15,74
2023-01-16,101
2023-01-17,105
2023-01-18,16
2023-01-19,31
2023-01-20,80
2023-01-21,49
2023-01-22,98
2023-01-23,66
2023-01-24,87
2023-01-25,92
2023-01-26,96
2023-01-27,76
2023-01-28,97
2023-01-29,88
2023-01-30,84
2023-01-31,87
2023-02-01,77
2023-02-02,99
2023-02-03,75
2023-02-04,96
2023-02-05,75
2023-02-06,88
2023-02-07,72
2023-02-08,82
2023-02-09,95
2023-02-10,92
2023-02-11,88
2023-02-12,116
2023-02-13,84
2023-02-14,73
2023-02-15,78
2023-02-16,86
2023-02-17,30
2023-02-18,63
2023-02-19,6
2023-02-20,54
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,38
2023-02-28,106
2023-03-01,88
2023-03-02,7
2023-03-03,50
2023-03-04,61
2023-03-05,116
2023-03-06,104
2023-03-07,58
2023-03-08,83
2023-03-09,76
2023-03-10,62
2023-03-11,79
2023-03-12,81
2023-03-13,84
2023-03-14,65
2023-03-15,78
2023-03-16,97
2023-03-17,66
2023-03-18,59
2023-03-19,68
2023-03-20,77
2023-03-21,77
2023-03-22,85
2023-03-23,64
2023-03-24,82
2023-03-25,65
2023-03-26,74
2023-03-27,84
2023-03-28,88
2023-03-29,82
2023-03-30,66
2023-03-31,140
2023-04-01,79
2023-04-02,60
2023-04-03,99
2023-04-04,94
2023-04-05,83
2023-04-06,99
2023-04-07,78
2023-04-08,108
2023-04-09,66
2023-04-10,78
2023-04-11,80
2023-04-12,71
2023-04-13,102
2023-04-14,82
2023-04-15,67
2023-04-16,98
2023-04-17,71
2023-04-18,86
2023-04-19,139
2023-04-20,153
2023-04-21,113
2023-04-22,94
2023-04-23,57
2023-04-24,104
2023-04-25,103
2023-04-26,102
2023-04-27,72
2023-04-28,127
2023-04-29,235
2023-04-30,248
2023-05-01,254
2023-05-02,185
2023-05-03,126
2023-05-04,120
2023-05-05,88
2023-05-06,94
2023-05-07,68
2023-05-08,112
2023-05-09,89
2023-05-10,95
2023-05-11,128
2023-05-12,116
2023-05-13,125
2023-05-14,112
2023-05-15,117
2023-05-16,98
2023-05-17,124
2023-05-18,100
2023-05-19,94
2023-05-20,107
2023-05-21,97
2023-05-22,126
2023-05-23,92
2023-05-24,85
2023-05-25,90
2023-05-26,81
2023-05-27,104
2023-05-28,75
2023-05-29,97
2023-05-30,87
2023-05-31,95
2023-06-01,72
2023-06-02,109
2023-06-03,102
2023-06-04,82
2023-06-05,104
2023-06-06,93
2023-06-07,128
2023-06-08,69
2023-06-09,151
2023-06-10,89
2023-06-11,95
2023-06-12,95
2023-06-13,90
2023-06-14,107
2023-06-15,121
2023-06-16,91
2023-06-17,72
2023-06-18,98
2023-06-19,96
2023-06-20,102
2023-06-21,89
2023-06-22,65
2023-06-23,87
2023-06-24,85
2023-06-25,102
2023-06-26,126
2023-06-27,103
2023-06-28,86
2023-06-29,89
2023-06-30,84
2023-07-01,107
2023-07-02,92
2023-07-03,92
2023-07-04,90
2023-07-05,95
2023-07-06,78
2023-07-07,81
2023-07-08,77
2023-07-09,61
2023-07-10,98
2023-07-11,63
2023-07-12,70
2023-07-13,131
2023-07-14,107
2023-07-15,97
2023-07-16,68
2023-07-17,83
2023-07-18,93
2023-07-19,83
2023-07-20,68
2023-07-21,86
2023-07-22,111
2023-07-23,140
2023-07-24,61
2023-07-25,40
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,17
2023-08-11,0
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,0
2023-08-16,0
2023-08-17,0
2023-08-18,0
2023-08-19,0
2023-08-20,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,5
2023-08-25,98
2023-08-26,94
2023-08-27,92
2023-08-28,75
2023-08-29,91
2023-08-30,130
2023-08-31,102
2023-09-01,108
2023-09-02,98
2023-09-03,93
2023-09-04,153
2023-09-05,101
2023-09-06,114
2023-09-07,101
2023-09-08,110
2023-09-09,109
2023-09-10,95
2023-09-11,126
2023-09-12,120
2023-09-13,108
2023-09-14,94
2023-09-15,110
2023-09-16,81
2023-09-17,90
2023-09-18,108
2023-09-19,113
2023-09-20,120
2023-09-21,90
2023-09-22,106
2023-09-23,144
2023-09-24,265
2023-09-25,274
2023-09-26,198
2023-09-27,111
2023-09-28,124
2023-09-29,225
2023-09-30,137
2023-10-01,92
2023-10-02,95
2023-10-03,146
2023-10-04,193
2023-10-05,127
2023-10-06,181
2023-10-07,165
2023-10-08,85
2023-10-09,127
2023-10-10,137
2023-10-11,140
2023-10-12,146
2023-10-13,123
2023-10-14,134
2023-10-15,110
2023-10-16,164
2023-10-17,123
2023-10-18,125
2023-10-19,161
2023-10-20,145
2023-10-21,168
2023-10-22,135
2023-10-23,138
2023-10-24,162
2023-10-25,176
2023-10-26,152
2023-10-27,167
2023-10-28,173
2023-10-29,74
2023-10-30,0
2023-10-31,0
2023-11-01,179
2023-11-02,138
2023-11-03,137
2023-11-04,146
2023-11-05,147
2023-11-06,174
2023-11-07,170
2023-11-08,192
2023-11-09,177
2023-11-10,160
2023-11-11,172
2023-11-12,106
2023-11-13,145
2023-11-14,159
2023-11-15,141
2023-11-16,138
2023-11-17,174
2023-11-18,255
2023-11-19,346
2023-11-20,395
2023-11-21,205
2023-11-22,153
2023-11-23,156
2023-11-24,155
2023-11-25,159
2023-11-26,145
2023-11-27,119
2023-11-28,168
2023-11-29,148
2023-11-30,138
2023-12-01,193
2023-12-02,195
2023-12-03,113
2023-12-04,146
2023-12-05,142
2023-12-06,164
2023-12-07,163
2023-12-08,133
2023-12-09,172
2023-12-10,116
2023-12-11,149
2023-12-12,165
2023-12-13,182
2023-12-14,140
2023-12-15,138
2023-12-16,178
2023-12-17,164
2023-12-18,164
2023-12-19,126
2023-12-20,148
2023-12-21,170
2023-12-22,137
2023-12-23,131
2023-12-24,123
2023-12-25,0
2023-12-26,140
2023-12-27,133
2023-12-28,138
2023-12-29,128
2023-12-30,127
2023-12-31,122
